x,y,z,value
-74.4,6.7,0.0,0.0036685572126113233
-74.4,6.7,10.0,0.0036734171788169187
-74.4,6.7,20.0,0.0036779527506503196
-74.4,6.7,29.999999999999996,0.0036714818247812983
-74.4,6.7,40.0,0.003695253830249937
-74.30999099909991,6.7,0.0,0.003620092448953961
-74.30999099909991,6.7,10.0,0.0036269193662583086
-74.30999099909991,6.7,20.0,0.003625057694299052
-74.30999099909991,6.7,29.999999999999996,0.003645817402406793
-74.30999099909991,6.7,40.0,0.0036862371055446192
-74.21998199819981,6.7,0.0,0.0036140980079946263
-74.21998199819981,6.7,10.0,0.0036246797245489547
-74.21998199819981,6.7,20.0,0.003608125942687851
-74.21998199819981,6.7,29.999999999999996,0.003606029134876873
-74.21998199819981,6.7,40.0,0.0036406681803316087
-74.12997299729972,6.7,0.0,0.0036570930958480913
-74.12997299729972,6.7,10.0,0.0036703081626237016
-74.12997299729972,6.7,20.0,0.0037030311912448852
-74.12997299729972,6.7,29.999999999999996,0.0036723142542071643
-74.12997299729972,6.7,40.0,0.003626073953566122
-74.03996399639962,6.7,0.0,0.003679971609234232
-74.03996399639962,6.7,10.0,0.003689301440790952
-74.03996399639962,6.7,20.0,0.003685996322597355
-74.03996399639962,6.7,29.999999999999996,0.003693857722571361
-74.03996399639962,6.7,40.0,0.003686013124351536
-73.94995499549952,6.7,0.0,0.00367412307825577
-73.94995499549952,6.7,10.0,0.0036735083617607587
-73.94995499549952,6.7,20.0,0.0036615081040972863
-73.94995499549952,6.7,29.999999999999996,0.0036710436907620913
-73.94995499549952,6.7,40.0,0.003656772496052512
-73.85994599459943,6.7,0.0,0.0036843488902353195
-73.85994599459943,6.7,10.0,0.0036856314203559115
-73.85994599459943,6.7,20.0,0.0036610726637379266
-73.85994599459943,6.7,29.999999999999996,0.0036743663325617963
-73.85994599459943,6.7,40.0,0.0036708660703049507
-73.76993699369933,6.7,0.0,0.003659806542284633
-73.76993699369933,6.7,10.0,0.003654386571869113
-73.76993699369933,6.7,20.0,0.0036729053937742118
